"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2021-087966","特願2019-218805","2019/12/03","2021/06/10","溶接状態検査ガン","株式会社タイルメント","B23K31/00@K,B23K9/20@Z","特開2021-087966","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-087966/3A6F59BFD7B2984BE74F429F53F84D3AF250324D283EEC61D83443DBAF50973C/11/ja"
"特開2021-087965","特願2019-218804","2019/12/03","2021/06/10","スタッド溶接装置","株式会社タイルメント","B23K9/20@D","特開2021-087965","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-087965/B50ED94ECB91C9B2BD81E6F0B59CCEE4100ADCEA6564BC4BF3247EC2C015E847/11/ja"
"特開2021-086321","特願2019-213730","2019/11/26","2021/06/03","要件判定システム及び要件判定方法","株式会社トヨタプロダクションエンジニアリング","G05B19/418@Z,G06Q50/04","特開2021-086321","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-086321/EC6CE5BBB227EAE700F9E4C0AE9129CA840B946E0F153B25544A4FBAA281ADDC/11/ja"
"特開2021-076000","特願2020-171747","2020/10/12","2021/05/20","鋼製壁体と鉄筋コンクリート床版の接合構造","ＪＦＥスチール株式会社","E02D29/05@C,E02D29/05@Z","特開2021-076000","","特許7156347","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-076000/770914BD79F049493E61622641ECCEDFCCF67F633BF180D17ABC6B810581C5FC/11/ja"
"特開2021-063404","特願2019-189862","2019/10/17","2021/04/22","既存岸壁の改良構造及び改良方法","ＪＦＥエンジニアリング株式会社,ＪＦＥスチール株式会社","E02B3/06","特開2021-063404","","特許7149919","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-063404/9A65E6F7CC9590E3D220CC4430AF408E2BFC87FFDE3319730097E9C1C7D35141/11/ja"
"特開2021-055293","特願2019-177245","2019/09/27","2021/04/08","高架道路用伸縮装置の止水材設置方法","アジア技研株式会社,中井商工株式会社","E01C11/02@A,E01D19/06,B23K9/20@G","特開2021-055293","","特許7084000","拒絶2022-001188","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-055293/7701C0B3AD3B70B9C37EB47C6A1F734A475E666B0A6483FE02A01E58D5CF5250/11/ja"
"特開2021-050507","特願2019-173453","2019/09/24","2021/04/01","座屈拘束ブレース","大和ハウス工業株式会社","E04B1/58@D","特開2021-050507","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-050507/2F5CDB28CBCA6502F9B3E92594BCCBE90AA98153942CFACC62EA6131FF87B832/11/ja"
"特開2021-041413","特願2019-163005","2019/09/06","2021/03/18","溶接電源装置","株式会社ダイヘン","B23K9/20@D,H02M7/12@M,H02M7/12@U,H02M7/155@A","特開2021-041413","","特許7255066","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-041413/BA4E554F5AA749C7FBA8D7A0A31403554CE9CDED48A071596F526E9DD92D0437/11/ja"
"特許6844044","特願2020-005651","2020/01/17","2021/03/17","管表面に管の固有ＩＤが表示された管及びそれを利用する管仕分け方法","株式会社新来島どっく","B21C51/00@B,B65G1/137@Z,B21C51/00@P,B21C51/00@R,G06K19/06","特開2021-112758","","特許6844044","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6844044/FDDFCA8EE7A38062126E5FF6C47B96E1DE7718173D5A84F4655F32A31B2FB0BF/15/ja"
"特開2021-036115","特願2019-158211","2019/08/30","2021/03/04","杭頭部の接合構造および杭頭接合方法","清水建設株式会社,日本製鉄株式会社","E02D27/12@Z","特開2021-036115","","特許7274986","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-036115/41BDBBF83394B0E83C00C4107745CF83F7F762D82E6DABB76D96F24056DD9999/11/ja"
